LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,area_km2,night_transport_pts,night_bus,night_tube,night_transport_density_km2,LAD19CD,LAD19NM
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1988,1982,6,104.2,710,2.8,0.189981051,0,0,0,0,E09000002,Barking and Dagenham
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1445,1437,8,83.1,560,2.6,0.174019238,1,1,0,5.746491083,E09000002,Barking and Dagenham
E01000078,Barking and Dagenham 007B,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1666,1666,0,94.8,649,2.6,0.1717603,0,0,0,0,E09000002,Barking and Dagenham
E01000079,Barking and Dagenham 009E,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1546,1546,0,49.9,609,2.5,0.309908901,0,0,0,0,E09000002,Barking and Dagenham
E01000080,Barking and Dagenham 007C,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1556,1556,0,67.3,594,2.6,0.232963044,0,0,0,0,E09000002,Barking and Dagenham
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1688,1688,0,90.9,648,2.6,0.186342073,0,0,0,0,E09000002,Barking and Dagenham
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1683,1678,5,104.7,672,2.5,0.163350651,2,2,0,12.24359983,E09000002,Barking and Dagenham
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1700,1700,0,94.5,629,2.7,0.179268008,2,2,0,11.15648029,E09000002,Barking and Dagenham
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1355,1355,0,90.3,517,2.6,0.152481408,0,0,0,0,E09000002,Barking and Dagenham
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1718,1711,7,118.2,640,2.7,0.144569502,0,0,0,0,E09000002,Barking and Dagenham
